123456
 Score: 79572.5  Generations: 183
 Score: 79575.02  Generations: 143
 Score: 79425.73  Generations: 115
 Score: 79256.24  Generations: 102
 Score: 79539.89  Generations: 88
 Score: 79565.18  Generations: 78
 Score: 79478.22  Generations: 70
 Score: 79545.54  Generations: 62
 Score: 79474.88  Generations: 57
 Score: 79621.61  Generations: 55
 Score: 79359.57  Generations: 48
 Score: 79457.26  Generations: 46
 Score: 79477.22  Generations: 38
 Score: 79548.25  Generations: 36
 Score: 79548.27  Generations: 36
 Score: 79254.62  Generations: 34
 Score: 79576.61  Generations: 30
 Score: 79565.8  Generations: 51
 Score: 79552.68  Generations: 51
 Score: 79465.3  Generations: 46
 Score: 79383.96  Generations: 46
 Score: 79527.29  Generations: 43
149302
 Score: 79535.1  Generations: 748
 Score: 79507.72  Generations: 363
 Score: 79535.1  Generations: 235
 Score: 79172.66  Generations: 171
 Score: 79535.1  Generations: 140
 Score: 79402.68  Generations: 121
 Score: 79361.92  Generations: 97
 Score: 79408.35  Generations: 84
 Score: 79535.1  Generations: 84
 Score: 79427.35  Generations: 66
 Score: 79490.9  Generations: 63
 Score: 79339.17  Generations: 56
 Score: 79535.1  Generations: 50
 Score: 79535.1  Generations: 47
 Score: 79438.53  Generations: 43
 Score: 79535.1  Generations: 39
 Score: 79437.42  Generations: 36
 Score: 79535.1  Generations: 34
 Score: 79183.38  Generations: 31
 Score: 79535.1  Generations: 31
 Score: 79535.1  Generations: 51
 Score: 79451.28  Generations: 51
 Score: 79491.84  Generations: 45
 Score: 79465.79  Generations: 43
 Score: 79400.56  Generations: 43
159320
 Score: 79419.54  Generations: 761
 Score: 79382.99  Generations: 377
 Score: 79423.9  Generations: 305
 Score: 79414.02  Generations: 182
 Score: 79367.81  Generations: 248
 Score: 79546.12  Generations: 123
 Score: 79591.58  Generations: 100
 Score: 79286.18  Generations: 133
 Score: 79662.87  Generations: 85
 Score: 79528.56  Generations: 68
 Score: 79573.2  Generations: 63
 Score: 79596.28  Generations: 58
 Score: 79452.64  Generations: 48
 Score: 79717.27  Generations: 50
 Score: 79517.35  Generations: 57
 Score: 79498.93  Generations: 79
 Score: 79492.65  Generations: 65
 Score: 79436.8  Generations: 38
 Score: 79516.4  Generations: 33
 Score: 79535.1  Generations: 33
 Score: 79376.67  Generations: 64
 Score: 79226.47  Generations: 63
 Score: 79275.77  Generations: 59
 Score: 79535.1  Generations: 57
 Score: 79466.73  Generations: 55
